,MRIPDFF,rf,env,log,den,phase,phase2,rf,env,log,den,phase,phase2,,,,,,,,,,,,,,,,,,,,,,,
46,24.450001,3.755931554,5.098218511,6.88339812,6.595399135,3.470252008,4.886882123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,24.450001,3.696998841,4.972718349,6.82353809,6.496186421,3.462914976,4.924505025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,24.450001,3.669024045,4.917437527,6.804812984,6.459518132,3.470519215,4.975952992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,24.450001,2.438419765,2.725244766,6.900697793,6.109110315,3.424611285,5.007106576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,24.450001,2.77196015,3.707986509,6.942963445,6.24920952,3.449877339,4.966671001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,24.450001,2.48948664,3.200309232,6.875030522,6.099293614,3.44124146,4.923589402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,24.450001,2.483142109,2.965842266,6.937615372,6.215108966,3.442854566,4.990630613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,12.13,3.55392954,5.310455709,6.923217549,6.498348025,3.468008478,4.975086381,12.13,3.070593606,4.096281426,6.886799185,6.303603265,3.047361466,,,,,,,,,,,,,,,,,,,,,,,
54,12.13,3.530260489,4.669469965,6.814267295,6.415795585,3.466493363,4.911452295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,12.13,3.426248535,4.455801665,6.739507471,6.232590813,3.469357106,4.979091978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,12.13,3.64411191,5.439966365,6.948937977,6.547227063,0.556113424,0.801322405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,12.13,2.41145881,2.776303203,6.923634799,6.122847227,3.461122533,4.928120698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,12.13,2.636686152,3.069933556,6.954705142,6.210020892,3.454311914,4.980412874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,12.13,2.291459809,2.952039518,6.903324064,6.098393248,3.45612344,4.968734557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,3.25,3.288171198,4.716132205,6.77345915,6.327811277,3.466083671,4.888883763,3.25,2.775497099,3.689929738,6.771701242,6.147728034,3.432302939,,,,,,,,,,,,,,,,,,,,,,,
61,3.25,3.400185339,4.499914167,6.732345822,6.386044817,3.464592425,5.002391215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.25,3.226399156,4.318785676,6.714492572,6.296252351,3.461326524,4.986034606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.25,2.295764653,2.984330232,6.780778677,5.937581414,3.406635502,4.944550047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.25,2.27445814,2.89913832,6.812479736,5.978368682,3.404169926,4.959997098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.25,2.168004105,2.721277827,6.816651498,5.960309664,3.391009586,4.99222161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,27.65,3.732727917,5.688560493,6.854281991,6.475813037,3.471768294,5.036776515,27.65,3.197251547,4.603552847,6.878219054,6.345633603,3.463329291,,,,,,,,,,,,,,,,,,,,,,,
